seed,train_loss,hold_loss
0,0.002978516875152341,0.0022025680250238504
1,0.003029491231725859,0.002230972998174613
2,0.002479770615607289,0.002164818607505545
3,0.0024006124122129342,0.002041078842180536
4,0.0026162618255465542,0.0020568161957305337
5,0.003419301819003701,0.0024670122418274324
6,0.002697820217957214,0.0021712129061314347
7,0.0023546941857935867,0.0023549163424828852
8,0.00275434401488482,0.0024646804053094964
9,0.0035585562804823505,0.0024461887310030213
10,0.0025409428738647835,0.002062100943233546
11,0.0024343913396337644,0.00166838532556303
12,0.0028225461446409745,0.00197500491200847
13,0.002798817120951947,0.0018953302715951823
14,0.002438942640541088,0.002164324325571605
15,0.003398222074643294,0.0022882656008009986
16,0.0024542367195017414,0.0019191974095328975
17,0.0030460191382851096,0.002206507252736895
18,0.002720480360577495,0.002201150234227698
19,0.0027334589972021553,0.0019782866198703726
20,0.0028091031950943208,0.00232329926356733
